suite,representative,feasible_worlds,initial_candidates,root_candidates,removed_by_root,exact_candidates,unsupported_survivors,identifiable_cells,freely_variable_cells,literal_queries,infeasible_queries,fixed_calls,gac_calls,factor_updates,deletions,branches,search_nodes,median_solver_us,root_domains,supported_domains
axis_2,558,9,24,13,11,13,0,4,0,7,0,8,1,86,13,0,0,2.374,1 5 4 5 1 5 1 7,1 5 4 5 1 5 1 7
axis_2,1287,9,24,13,11,13,0,4,0,6,0,7,1,77,13,0,0,2.333,1 5 4 5 1 5 2 7,1 5 4 5 1 5 2 7
axis_2,2016,9,24,13,11,13,0,4,0,6,0,7,1,78,13,0,0,2.433,1 5 4 5 1 5 4 7,1 5 4 5 1 5 4 7
axis_2,567,1,24,8,16,8,0,8,0,6,0,7,1,84,16,0,0,2.153,1 1 1 1 2 4 1 1,1 1 1 1 2 4 1 1
axis_2,487,1,24,8,16,8,0,8,0,6,0,7,1,83,16,0,0,2.073,2 1 1 1 1 4 1 1,2 1 1 1 1 4 1 1
axis_2,568,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.173,2 1 1 1 2 4 1 1,2 1 1 1 2 4 1 1
axis_2,649,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.073,2 1 1 1 4 4 1 1,2 1 1 1 4 4 1 1
axis_2,87,1,24,8,16,8,0,8,0,6,0,7,1,83,16,0,0,2.143,1 4 1 1 2 1 1 1,1 4 1 1 2 1 1 1
axis_2,7,1,24,8,16,8,0,8,0,6,0,7,1,82,16,0,0,2.073,2 4 1 1 1 1 1 1,2 4 1 1 1 1 1 1
axis_2,88,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.164,2 4 1 1 2 1 1 1,2 4 1 1 2 1 1 1
axis_2,169,1,24,8,16,8,0,8,0,5,0,6,1,73,16,0,0,2.053,2 4 1 1 4 1 1 1,2 4 1 1 4 1 1 1
axis_2,330,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.063,1 4 1 1 2 2 1 1,1 4 1 1 2 2 1 1
axis_2,250,1,24,8,16,8,0,8,0,5,0,6,1,73,16,0,0,2.053,2 4 1 1 1 2 1 1,2 4 1 1 1 2 1 1
axis_2,331,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,2.103,2 4 1 1 2 2 1 1,2 4 1 1 2 2 1 1
axis_2,412,1,24,8,16,8,0,8,0,4,0,5,1,64,16,0,0,1.993,2 4 1 1 4 2 1 1,2 4 1 1 4 2 1 1
axis_2,573,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.174,1 4 1 1 2 4 1 1,1 4 1 1 2 4 1 1
axis_2,493,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.193,2 4 1 1 1 4 1 1,2 4 1 1 1 4 1 1
axis_2,574,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.253,2 4 1 1 2 4 1 1,2 4 1 1 2 4 1 1
axis_2,655,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,2.114,2 4 1 1 4 4 1 1,2 4 1 1 4 4 1 1
axis_2,1296,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.013,1 1 1 1 2 4 2 1,1 1 1 1 2 4 2 1
axis_2,496,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.043,2 1 2 1 1 4 1 1,2 1 2 1 1 4 1 1
axis_2,576,9,24,13,11,13,0,4,0,7,0,8,1,87,13,0,0,2.383,3 1 3 1 3 4 7 1,3 1 3 1 3 4 7 1
axis_2,658,5,24,12,12,12,0,5,0,6,0,7,1,79,14,0,0,2.284,2 1 3 1 5 4 7 1,2 1 3 1 5 4 7 1
axis_2,816,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.043,1 4 1 1 2 1 2 1,1 4 1 1 2 1 2 1
axis_2,16,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.053,2 4 2 1 1 1 1 1,2 4 2 1 1 1 1 1
axis_2,96,9,24,13,11,13,0,4,0,7,0,8,1,86,13,0,0,2.354,3 4 3 1 3 1 7 1,3 4 3 1 3 1 7 1
axis_2,178,5,24,12,12,12,0,5,0,6,0,7,1,78,14,0,0,2.264,2 4 3 1 5 1 7 1,2 4 3 1 5 1 7 1
axis_2,1059,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,2.003,1 4 1 1 2 2 2 1,1 4 1 1 2 2 2 1
axis_2,259,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,2.043,2 4 2 1 1 2 1 1,2 4 2 1 1 2 1 1
axis_2,339,9,24,13,11,13,0,4,0,6,0,7,1,77,13,0,0,2.324,3 4 3 1 3 2 7 1,3 4 3 1 3 2 7 1
axis_2,421,5,24,12,12,12,0,5,0,5,0,6,1,69,14,0,0,2.224,2 4 3 1 5 2 7 1,2 4 3 1 5 2 7 1
axis_2,1302,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.113,1 4 1 1 2 4 2 1,1 4 1 1 2 4 2 1
axis_2,502,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.203,2 4 2 1 1 4 1 1,2 4 2 1 1 4 1 1
axis_2,582,9,24,13,11,13,0,4,0,6,0,7,1,78,13,0,0,2.434,3 4 3 1 3 4 7 1,3 4 3 1 3 4 7 1
axis_2,664,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.353,2 4 3 1 5 4 7 1,2 4 3 1 5 4 7 1
axis_2,2025,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.043,1 1 1 1 2 4 4 1,1 1 1 1 2 4 4 1
axis_2,505,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.023,2 1 4 1 1 4 1 1,2 1 4 1 1 4 1 1
axis_2,586,5,24,12,12,12,0,5,0,6,0,7,1,80,14,0,0,2.403,2 1 5 1 3 4 7 1,2 1 5 1 3 4 7 1
axis_2,667,6,24,12,12,12,0,5,0,6,0,7,1,79,14,0,0,2.274,2 1 5 1 5 4 7 1,2 1 5 1 5 4 7 1
axis_2,585,3,24,10,14,10,0,7,1,5,0,6,1,74,14,0,0,2.234,1 1 4 1 2 4 7 1,1 1 4 1 2 4 7 1
axis_2,1545,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.043,1 4 1 1 2 1 4 1,1 4 1 1 2 1 4 1
axis_2,25,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.033,2 4 4 1 1 1 1 1,2 4 4 1 1 1 1 1
axis_2,106,5,24,12,12,12,0,5,0,6,0,7,1,79,14,0,0,2.404,2 4 5 1 3 1 7 1,2 4 5 1 3 1 7 1
axis_2,187,6,24,12,12,12,0,5,0,6,0,7,1,78,14,0,0,2.414,2 4 5 1 5 1 7 1,2 4 5 1 5 1 7 1
axis_2,105,3,24,10,14,10,0,7,1,5,0,6,1,73,14,0,0,2.243,1 4 4 1 2 1 7 1,1 4 4 1 2 1 7 1
